nom_est,area_est,long_est,ancho_est,cap_biart,cap_art,num_acc,cluster,PCA1,PCA2
Normandía,318.09,106.03,3.0,120,140,1,0,-140.29046600969536,-33.3258524286598
Perdomo,396.96,99.24,4.0,72,128,1,0,-65.81916914368884,-56.7194317182598
Hortúa,401.8,100.45,4.0,72,120,2,0,-61.57934904136198,-57.708230999620525
Portal Usme,0.0,402.9,0.0,78,132,1,2,-445.98364274920567,263.8310381381972
Ferias,183.0,45.75,4.0,72,80,1,0,-284.76889313742856,-103.26089896112647
Temporal Marly,594.44,176.19,3.5,120,200,2,1,142.3985403338648,27.359663047990693
Patio Bonito,896.4,199.2,4.5,144,160,2,1,441.8900801967431,22.961662057999888
Portal Tunal,0.0,323.17,0.0,64,88,2,2,-453.8705438537051,175.28400517238512
Fucha,320.16,80.04,4.0,48,96,1,0,-146.91881778439824,-81.01825896007448
Minuto de Dios,576.0,144.0,4.0,144,152,1,0,120.17173147686793,-8.586836407839286
Portal Américas,0.0,369.54,0.0,144,198,1,2,-438.6164752492179,258.54706394874177
Las Aguas - Centro Colombo Americano,0.0,61.73,0.0,48,72,3,2,-467.97748325728475,-80.91368399332531
Portal Suba,0.0,526.68,0.0,128,176,1,2,-434.05971854577183,400.8694234041516
Suba - AV. Boyacá,707.0,176.75,4.0,48,96,2,0,242.12667707599752,-16.374810487208663
Santa Lucía,486.24,121.56,4.0,120,152,2,1,28.552283775614455,-27.859305454173352
San Martín,357.48,89.37,4.0,60,132,1,0,-105.88423094002502,-64.55450119161617
Universidades – CityU,491.4,122.85,4.0,120,140,2,1,32.79914356808422,-29.693931696412903
Santa Isabel,357.04,89.26,4.0,96,144,1,0,-103.36153083519912,-55.52101890793536
Suba - Calle 95,358.28,89.57,4.0,48,96,1,0,-108.5815430197045,-74.64819535444197
Puente Aranda,356.8,89.2,4.0,48,120,1,0,-108.18487674630478,-69.5017297987721
Quiroga,345.4,86.35,4.0,48,96,1,0,-121.5349558992757,-76.80051485183301
Puentelargo,357.44,89.36,4.0,72,128,1,0,-105.56442356920547,-63.323443095347855
San Victorino,791.2,197.8,4.0,168,216,2,1,342.97429638714976,46.031445234821774
CC Paseo Villa del Río - Madelena,357.0,89.25,4.0,72,132,1,0,-105.69274781013348,-62.498005909270546
San Mateo - CC Unisur,492.8,123.2,4.0,192,232,3,1,45.479261897269055,4.0367523210869365
Sevillana,397.12,99.28,4.0,72,132,1,0,-65.3440735299784,-55.79373120155867
Rionegro,356.84,89.21,4.0,48,96,1,0,-110.02975067083668,-74.8888273479391
Suba - Calle 116,386.4,96.6,4.0,72,128,1,0,-76.43935858532484,-58.48406633723879
San Bernardo,462.84,115.71,4.0,120,144,2,1,4.390542139769309,-33.56750260557135
SENA,400.04,100.01,4.0,144,160,1,0,-56.16283058847637,-36.19280191171151
San Facon Carrera 22,520.64,130.16,4.0,120,152,2,1,63.14835544154988,-22.110874498408435
Socorro,329.6,82.4,4.0,72,128,1,0,-133.5631048244278,-67.97566163629249
21 Ángeles,376.6,94.15,4.0,48,96,1,0,-90.15712345807827,-71.58682165939506
Temporal Calle 34,526.4,150.4,3.5,120,200,2,1,73.56934718565066,7.602280838992641
Venecia,423.72,105.93,4.0,72,132,1,0,-38.59245997434209,-51.34872354390325
Danubio,996.0,199.2,5.0,144,160,2,1,540.9209545248787,15.814990488531862
Portal Sur - JFK Coop. Financiera,0.0,416.61,0.0,96,132,2,2,-444.3449548587727,280.1335761122323
Temporal Calle 22,642.95,183.7,3.5,120,200,2,1,190.97394450088296,31.05486267017568
